datetime,latitude,longitude,depth,latitude_err,longitude_err,depth_err,type,deep_nest,comments,day,month
1969-07-20 20:17:00.000,0.6741,23.473,,,,,Apollo 11 LM landed,,,1969-07-20,1969-07
1969-07-21 17:54:00.000,0.6741,23.473,,,,,Apollo 11 LM lifted off,,,1969-07-21,1969-07
1969-07-27 23:48:00.000,,,,,,,Deep Moonquake,,11Z AMLPITUDE,1969-07-27,1969-07
1969-07-28 11:46:00.000,,,,,,,Meteoroid Impact,,11Z AMPLITUDE,1969-07-28,1969-07
1969-07-28 13:49:00.000,,,,,,,Deep Moonquake,,11Z AMPLITUDE  SP,1969-07-28,1969-07
1969-07-29 13:18:00.000,,,,,,,Meteoroid Impact,,11Z AMPLITUDE,1969-07-29,1969-07
1969-08-02 17:20:00.000,,,,,,,Meteoroid Impact,,11Z AMPLITUDE,1969-08-02,1969-08
1969-08-21 18:58:00.000,,,,,,,Meteoroid Impact,,11Z AMPLITUDE,1969-08-21,1969-08
1969-08-23 00:09:00.000,,,,,,,,,11Z AMPLITUDE,1969-08-23,1969-08
1969-08-24 06:18:00.000,,,,,,,Deep Moonquake,,11Z AMPLITUDE,1969-08-24,1969-08
1969-08-25 00:30:00.000,,,,,,,Deep Moonquake,,11Z AMPLITUDE  SP,1969-08-25,1969-08
1969-11-20 22:17:17.700,-3.94,-21.2,0.0,,,,LM Impact,,12 LM IMP,1969-11-20,1969-11
1969-11-24 07:51:00.000,,,,,,,,,,1969-11-24,1969-11
1969-11-27 03:18:00.000,,,,,,,,,,1969-11-27,1969-11
1969-11-28 03:39:00.000,-35.7,-40.3,988.0,4.9,6.7,21.0,Deep Moonquake,10,,1969-11-28,1969-11
1969-11-28 10:02:00.000,,,,,,,Meteoroid Impact,,,1969-11-28,1969-11
1969-11-29 09:10:00.000,,,,,,,Deep Moonquake,208,,1969-11-29,1969-11
1969-11-29 11:55:00.000,-6.0,-19.7,1037.0,2.4,3.6,68.0,Deep Moonquake,9,,1969-11-29,1969-11
1969-11-30 03:24:00.000,,,,,,,Deep Moonquake,2,,1969-11-30,1969-11
1969-11-30 06:28:00.000,-19.1,-41.7,973.0,3.0,5.6,23.0,Deep Moonquake,13,,1969-11-30,1969-11
1969-11-30 11:48:00.000,,,,,,,,,,1969-11-30,1969-11
1969-11-30 19:15:00.000,-35.7,-40.3,988.0,4.9,6.7,21.0,Deep Moonquake,10,,1969-11-30,1969-11
1969-12-01 01:02:00.000,,,,,,,Deep Moonquake,12,,1969-12-01,1969-12
1969-12-01 05:28:00.000,,,,,,,Meteoroid Impact,,,1969-12-01,1969-12
